[2026-01-25T19:15:09.442+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T17:00:00+00:00 [queued]>
[2026-01-25T19:15:09.448+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T17:00:00+00:00 [queued]>
[2026-01-25T19:15:09.449+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 2
[2026-01-25T19:15:09.458+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 17:00:00+00:00
[2026-01-25T19:15:09.469+0000] {standard_task_runner.py:60} INFO - Started process 50306 to run task
[2026-01-25T19:15:09.475+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'scheduled__2026-01-25T17:00:00+00:00', '--job-id', '32', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmpkq4scycu']
[2026-01-25T19:15:09.477+0000] {standard_task_runner.py:88} INFO - Job 32: Subtask fetch_and_store_swaps
[2026-01-25T19:15:09.523+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T17:00:00+00:00 [running]> on host f2da44f39545
[2026-01-25T19:16:11.819+0000] {logging_mixin.py:188} INFO - [19:16:11] Fetched 1000 swaps from token0_in (Total: 31000)
[2026-01-25T19:16:15.353+0000] {logging_mixin.py:188} INFO - [19:16:15] Fetched 1000 swaps from token0_in (Total: 32000)
[2026-01-25T19:16:19.116+0000] {logging_mixin.py:188} INFO - [19:16:19] Fetched 1000 swaps from token0_in (Total: 33000)
[2026-01-25T19:16:20.114+0000] {logging_mixin.py:188} INFO - [19:16:20] Request failed (attempt 1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[2026-01-25T19:16:22.821+0000] {logging_mixin.py:188} INFO - [19:16:22] Fetched 1000 swaps from token0_in (Total: 34000)
[2026-01-25T19:16:24.264+0000] {logging_mixin.py:188} INFO - [19:16:24] Fetched 1000 swaps from token0_in (Total: 35000)
[2026-01-25T19:16:26.694+0000] {logging_mixin.py:188} INFO - [19:16:26] Fetched 1000 swaps from token0_in (Total: 36000)
[2026-01-25T19:16:30.206+0000] {logging_mixin.py:188} INFO - [19:16:30] Fetched 1000 swaps from token0_in (Total: 37000)
[2026-01-25T19:16:33.964+0000] {logging_mixin.py:188} INFO - [19:16:33] Fetched 1000 swaps from token0_in (Total: 38000)
[2026-01-25T19:16:37.801+0000] {logging_mixin.py:188} INFO - [19:16:37] Fetched 1000 swaps from token0_in (Total: 39000)
[2026-01-25T19:16:41.503+0000] {logging_mixin.py:188} INFO - [19:16:41] Fetched 1000 swaps from token0_in (Total: 40000)
[2026-01-25T19:16:44.448+0000] {logging_mixin.py:188} INFO - [19:16:44] Fetched 1000 swaps from token0_in (Total: 41000)
[2026-01-25T19:16:46.387+0000] {logging_mixin.py:188} INFO - [19:16:46] Fetched 1000 swaps from token0_in (Total: 42000)
[2026-01-25T19:16:48.801+0000] {logging_mixin.py:188} INFO - [19:16:48] Fetched 1000 swaps from token0_in (Total: 43000)
[2026-01-25T19:16:50.742+0000] {logging_mixin.py:188} INFO - [19:16:50] Fetched 1000 swaps from token0_in (Total: 44000)
[2026-01-25T19:16:52.427+0000] {logging_mixin.py:188} INFO - [19:16:52] Fetched 1000 swaps from token0_in (Total: 45000)
[2026-01-25T19:16:55.486+0000] {logging_mixin.py:188} INFO - [19:16:55] Fetched 1000 swaps from token0_in (Total: 46000)
[2026-01-25T19:16:57.733+0000] {logging_mixin.py:188} INFO - [19:16:57] Fetched 1000 swaps from token0_in (Total: 47000)
[2026-01-25T19:16:59.403+0000] {logging_mixin.py:188} INFO - [19:16:59] Fetched 1000 swaps from token0_in (Total: 48000)
[2026-01-25T19:17:01.265+0000] {logging_mixin.py:188} INFO - [19:17:01] Fetched 1000 swaps from token0_in (Total: 49000)
[2026-01-25T19:17:03.423+0000] {logging_mixin.py:188} INFO - [19:17:03] Fetched 1000 swaps from token0_in (Total: 50000)
[2026-01-25T19:17:07.325+0000] {logging_mixin.py:188} INFO - [19:17:07] Fetched 1000 swaps from token0_in (Total: 51000)
[2026-01-25T19:17:11.684+0000] {logging_mixin.py:188} INFO - [19:17:11] Fetched 1000 swaps from token0_in (Total: 52000)
[2026-01-25T19:17:13.175+0000] {logging_mixin.py:188} INFO - [19:17:13] Fetched 1000 swaps from token0_in (Total: 53000)
[2026-01-25T19:17:15.405+0000] {logging_mixin.py:188} INFO - [19:17:15] Fetched 1000 swaps from token0_in (Total: 54000)
[2026-01-25T19:17:19.835+0000] {logging_mixin.py:188} INFO - [19:17:19] Fetched 1000 swaps from token0_in (Total: 55000)
[2026-01-25T19:17:21.843+0000] {logging_mixin.py:188} INFO - [19:17:21] Fetched 1000 swaps from token0_in (Total: 56000)
[2026-01-25T19:17:24.964+0000] {logging_mixin.py:188} INFO - [19:17:24] Fetched 1000 swaps from token0_in (Total: 57000)
[2026-01-25T19:17:27.893+0000] {logging_mixin.py:188} INFO - [19:17:27] Fetched 1000 swaps from token0_in (Total: 58000)
[2026-01-25T19:17:35.531+0000] {logging_mixin.py:188} INFO - [19:17:35] Fetched 1000 swaps from token0_in (Total: 59000)
[2026-01-25T19:17:36.987+0000] {logging_mixin.py:188} INFO - [19:17:36] Fetched 1000 swaps from token0_in (Total: 60000)
[2026-01-25T19:17:38.571+0000] {logging_mixin.py:188} INFO - [19:17:38] Fetched 1000 swaps from token0_in (Total: 61000)
[2026-01-25T19:17:39.895+0000] {logging_mixin.py:188} INFO - [19:17:39] Fetched 1000 swaps from token0_in (Total: 62000)
[2026-01-25T19:17:41.334+0000] {logging_mixin.py:188} INFO - [19:17:41] Fetched 1000 swaps from token0_in (Total: 63000)
[2026-01-25T19:17:42.396+0000] {logging_mixin.py:188} INFO - [19:17:42] Fetched 1000 swaps from token0_in (Total: 64000)
[2026-01-25T19:17:43.631+0000] {logging_mixin.py:188} INFO - [19:17:43] Fetched 1000 swaps from token0_in (Total: 65000)
[2026-01-25T19:17:45.510+0000] {logging_mixin.py:188} INFO - [19:17:45] Fetched 1000 swaps from token0_in (Total: 66000)
[2026-01-25T19:17:47.783+0000] {logging_mixin.py:188} INFO - [19:17:47] Fetched 1000 swaps from token0_in (Total: 67000)
[2026-01-25T19:17:49.796+0000] {logging_mixin.py:188} INFO - [19:17:49] Fetched 1000 swaps from token0_in (Total: 68000)
[2026-01-25T19:17:51.457+0000] {logging_mixin.py:188} INFO - [19:17:51] Fetched 1000 swaps from token0_in (Total: 69000)
[2026-01-25T19:17:53.324+0000] {logging_mixin.py:188} INFO - [19:17:53] Fetched 1000 swaps from token0_in (Total: 70000)
[2026-01-25T19:17:55.832+0000] {logging_mixin.py:188} INFO - [19:17:55] Fetched 1000 swaps from token0_in (Total: 71000)
[2026-01-25T19:17:58.677+0000] {logging_mixin.py:188} INFO - [19:17:58] Fetched 1000 swaps from token0_in (Total: 72000)
[2026-01-25T19:18:00.662+0000] {logging_mixin.py:188} INFO - [19:18:00] Fetched 1000 swaps from token0_in (Total: 73000)
[2026-01-25T19:18:02.343+0000] {logging_mixin.py:188} INFO - [19:18:02] Fetched 1000 swaps from token0_in (Total: 74000)
[2026-01-25T19:18:03.921+0000] {logging_mixin.py:188} INFO - [19:18:03] Fetched 1000 swaps from token0_in (Total: 75000)
[2026-01-25T19:18:05.554+0000] {logging_mixin.py:188} INFO - [19:18:05] Fetched 1000 swaps from token0_in (Total: 76000)
[2026-01-25T19:18:07.295+0000] {logging_mixin.py:188} INFO - [19:18:07] Fetched 1000 swaps from token0_in (Total: 77000)
[2026-01-25T19:18:09.150+0000] {logging_mixin.py:188} INFO - [19:18:09] Fetched 1000 swaps from token0_in (Total: 78000)
[2026-01-25T19:18:11.015+0000] {logging_mixin.py:188} INFO - [19:18:11] Fetched 1000 swaps from token0_in (Total: 79000)
[2026-01-25T19:18:13.112+0000] {logging_mixin.py:188} INFO - [19:18:13] Fetched 1000 swaps from token0_in (Total: 80000)
[2026-01-25T19:18:15.713+0000] {logging_mixin.py:188} INFO - [19:18:15] Fetched 1000 swaps from token0_in (Total: 81000)
[2026-01-25T19:18:18.388+0000] {logging_mixin.py:188} INFO - [19:18:18] Fetched 1000 swaps from token0_in (Total: 82000)
[2026-01-25T19:18:20.517+0000] {logging_mixin.py:188} INFO - [19:18:20] Fetched 1000 swaps from token0_in (Total: 83000)
[2026-01-25T19:18:22.374+0000] {logging_mixin.py:188} INFO - [19:18:22] Fetched 1000 swaps from token0_in (Total: 84000)
[2026-01-25T19:18:24.804+0000] {logging_mixin.py:188} INFO - [19:18:24] Fetched 1000 swaps from token0_in (Total: 85000)
[2026-01-25T19:18:26.728+0000] {logging_mixin.py:188} INFO - [19:18:26] Fetched 1000 swaps from token0_in (Total: 86000)
[2026-01-25T19:18:28.952+0000] {logging_mixin.py:188} INFO - [19:18:28] Fetched 1000 swaps from token0_in (Total: 87000)
[2026-01-25T19:18:31.674+0000] {logging_mixin.py:188} INFO - [19:18:31] Fetched 1000 swaps from token0_in (Total: 88000)
