[2026-01-25T17:47:02.908+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [queued]>
[2026-01-25T17:47:02.934+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [queued]>
[2026-01-25T17:47:02.935+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 2
[2026-01-25T17:47:02.962+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:37:22.510543+00:00
[2026-01-25T17:47:02.981+0000] {standard_task_runner.py:60} INFO - Started process 31153 to run task
[2026-01-25T17:47:02.997+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'manual__2026-01-25T16:37:22.510543+00:00', '--job-id', '19', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmp3wduu174']
[2026-01-25T17:47:03.012+0000] {standard_task_runner.py:88} INFO - Job 19: Subtask fetch_and_store_swaps
[2026-01-25T17:47:03.182+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [running]> on host f2da44f39545
[2026-01-25T17:47:53.123+0000] {logging_mixin.py:188} INFO - [17:47:53] Fetched 1000 swaps from token0_in (Total: 31000)
[2026-01-25T17:47:54.926+0000] {logging_mixin.py:188} INFO - [17:47:54] Fetched 1000 swaps from token0_in (Total: 32000)
[2026-01-25T17:47:56.420+0000] {logging_mixin.py:188} INFO - [17:47:56] Fetched 1000 swaps from token0_in (Total: 33000)
[2026-01-25T17:47:57.970+0000] {logging_mixin.py:188} INFO - [17:47:57] Fetched 1000 swaps from token0_in (Total: 34000)
[2026-01-25T17:47:59.611+0000] {logging_mixin.py:188} INFO - [17:47:59] Fetched 1000 swaps from token0_in (Total: 35000)
[2026-01-25T17:48:01.293+0000] {logging_mixin.py:188} INFO - [17:48:01] Fetched 1000 swaps from token0_in (Total: 36000)
[2026-01-25T17:48:02.629+0000] {logging_mixin.py:188} INFO - [17:48:02] Fetched 1000 swaps from token0_in (Total: 37000)
[2026-01-25T17:48:04.217+0000] {logging_mixin.py:188} INFO - [17:48:04] Fetched 1000 swaps from token0_in (Total: 38000)
[2026-01-25T17:48:06.463+0000] {logging_mixin.py:188} INFO - [17:48:06] Fetched 1000 swaps from token0_in (Total: 39000)
[2026-01-25T17:48:07.900+0000] {logging_mixin.py:188} INFO - [17:48:07] Fetched 1000 swaps from token0_in (Total: 40000)
[2026-01-25T17:48:09.456+0000] {logging_mixin.py:188} INFO - [17:48:09] Fetched 1000 swaps from token0_in (Total: 41000)
[2026-01-25T17:48:12.226+0000] {logging_mixin.py:188} INFO - [17:48:12] Fetched 1000 swaps from token0_in (Total: 42000)
[2026-01-25T17:48:13.575+0000] {logging_mixin.py:188} INFO - [17:48:13] Fetched 1000 swaps from token0_in (Total: 43000)
[2026-01-25T17:48:15.251+0000] {logging_mixin.py:188} INFO - [17:48:15] Fetched 1000 swaps from token0_in (Total: 44000)
[2026-01-25T17:48:17.229+0000] {logging_mixin.py:188} INFO - [17:48:17] Fetched 1000 swaps from token0_in (Total: 45000)
[2026-01-25T17:48:19.206+0000] {logging_mixin.py:188} INFO - [17:48:19] Fetched 1000 swaps from token0_in (Total: 46000)
[2026-01-25T17:48:21.654+0000] {logging_mixin.py:188} INFO - [17:48:21] Fetched 1000 swaps from token0_in (Total: 47000)
[2026-01-25T17:48:23.002+0000] {logging_mixin.py:188} INFO - [17:48:23] Fetched 1000 swaps from token0_in (Total: 48000)
[2026-01-25T17:48:24.380+0000] {logging_mixin.py:188} INFO - [17:48:24] Fetched 1000 swaps from token0_in (Total: 49000)
[2026-01-25T17:48:25.691+0000] {logging_mixin.py:188} INFO - [17:48:25] Fetched 1000 swaps from token0_in (Total: 50000)
[2026-01-25T17:48:27.711+0000] {logging_mixin.py:188} INFO - [17:48:27] Fetched 1000 swaps from token0_in (Total: 51000)
[2026-01-25T17:48:29.216+0000] {logging_mixin.py:188} INFO - [17:48:29] Fetched 1000 swaps from token0_in (Total: 52000)
[2026-01-25T17:48:31.027+0000] {logging_mixin.py:188} INFO - [17:48:31] Fetched 1000 swaps from token0_in (Total: 53000)
[2026-01-25T17:48:32.958+0000] {logging_mixin.py:188} INFO - [17:48:32] Fetched 1000 swaps from token0_in (Total: 54000)
[2026-01-25T17:48:35.505+0000] {logging_mixin.py:188} INFO - [17:48:35] Fetched 1000 swaps from token0_in (Total: 55000)
[2026-01-25T17:48:37.686+0000] {logging_mixin.py:188} INFO - [17:48:37] Fetched 1000 swaps from token0_in (Total: 56000)
[2026-01-25T17:48:39.352+0000] {logging_mixin.py:188} INFO - [17:48:39] Fetched 1000 swaps from token0_in (Total: 57000)
[2026-01-25T17:48:40.888+0000] {logging_mixin.py:188} INFO - [17:48:40] Fetched 1000 swaps from token0_in (Total: 58000)
[2026-01-25T17:48:43.463+0000] {logging_mixin.py:188} INFO - [17:48:43] Fetched 1000 swaps from token0_in (Total: 59000)
[2026-01-25T17:48:44.575+0000] {logging_mixin.py:188} INFO - [17:48:44] Fetched 1000 swaps from token0_in (Total: 60000)
[2026-01-25T17:48:46.008+0000] {logging_mixin.py:188} INFO - [17:48:46] Fetched 1000 swaps from token0_in (Total: 61000)
[2026-01-25T17:48:47.365+0000] {logging_mixin.py:188} INFO - [17:48:47] Fetched 1000 swaps from token0_in (Total: 62000)
[2026-01-25T17:48:48.814+0000] {logging_mixin.py:188} INFO - [17:48:48] Fetched 1000 swaps from token0_in (Total: 63000)
