[2026-01-25T16:37:24.514+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [queued]>
[2026-01-25T16:37:24.522+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [queued]>
[2026-01-25T16:37:24.522+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-01-25T16:37:24.532+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:37:22.510543+00:00
[2026-01-25T16:37:24.538+0000] {standard_task_runner.py:60} INFO - Started process 35667 to run task
[2026-01-25T16:37:24.538+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'manual__2026-01-25T16:37:22.510543+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmpadwu87td']
[2026-01-25T16:37:24.541+0000] {standard_task_runner.py:88} INFO - Job 12: Subtask fetch_and_store_swaps
[2026-01-25T16:37:24.576+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [running]> on host f2da44f39545
[2026-01-25T16:38:12.904+0000] {logging_mixin.py:188} INFO - [16:38:12] Fetched 1000 swaps from token0_in (Total: 31000)
[2026-01-25T16:38:14.590+0000] {logging_mixin.py:188} INFO - [16:38:14] Fetched 1000 swaps from token0_in (Total: 32000)
[2026-01-25T16:38:16.341+0000] {logging_mixin.py:188} INFO - [16:38:16] Fetched 1000 swaps from token0_in (Total: 33000)
[2026-01-25T16:38:18.368+0000] {logging_mixin.py:188} INFO - [16:38:18] Fetched 1000 swaps from token0_in (Total: 34000)
[2026-01-25T16:38:20.422+0000] {logging_mixin.py:188} INFO - [16:38:20] Fetched 1000 swaps from token0_in (Total: 35000)
[2026-01-25T16:38:21.866+0000] {logging_mixin.py:188} INFO - [16:38:21] Fetched 1000 swaps from token0_in (Total: 36000)
[2026-01-25T16:38:23.625+0000] {logging_mixin.py:188} INFO - [16:38:23] Fetched 1000 swaps from token0_in (Total: 37000)
[2026-01-25T16:38:25.172+0000] {logging_mixin.py:188} INFO - [16:38:25] Fetched 1000 swaps from token0_in (Total: 38000)
[2026-01-25T16:38:26.671+0000] {logging_mixin.py:188} INFO - [16:38:26] Fetched 1000 swaps from token0_in (Total: 39000)
[2026-01-25T16:38:28.161+0000] {logging_mixin.py:188} INFO - [16:38:28] Fetched 1000 swaps from token0_in (Total: 40000)
[2026-01-25T16:38:29.703+0000] {logging_mixin.py:188} INFO - [16:38:29] Fetched 1000 swaps from token0_in (Total: 41000)
[2026-01-25T16:38:31.581+0000] {logging_mixin.py:188} INFO - [16:38:31] Fetched 1000 swaps from token0_in (Total: 42000)
[2026-01-25T16:38:33.040+0000] {logging_mixin.py:188} INFO - [16:38:33] Fetched 1000 swaps from token0_in (Total: 43000)
[2026-01-25T16:38:34.555+0000] {logging_mixin.py:188} INFO - [16:38:34] Fetched 1000 swaps from token0_in (Total: 44000)
[2026-01-25T16:38:36.195+0000] {logging_mixin.py:188} INFO - [16:38:36] Fetched 1000 swaps from token0_in (Total: 45000)
[2026-01-25T16:38:37.743+0000] {logging_mixin.py:188} INFO - [16:38:37] Fetched 1000 swaps from token0_in (Total: 46000)
[2026-01-25T16:38:39.406+0000] {logging_mixin.py:188} INFO - [16:38:39] Fetched 1000 swaps from token0_in (Total: 47000)
[2026-01-25T16:38:41.279+0000] {logging_mixin.py:188} INFO - [16:38:41] Fetched 1000 swaps from token0_in (Total: 48000)
[2026-01-25T16:38:43.531+0000] {logging_mixin.py:188} INFO - [16:38:43] Fetched 1000 swaps from token0_in (Total: 49000)
[2026-01-25T16:38:45.044+0000] {logging_mixin.py:188} INFO - [16:38:45] Fetched 1000 swaps from token0_in (Total: 50000)
[2026-01-25T16:38:46.590+0000] {logging_mixin.py:188} INFO - [16:38:46] Fetched 1000 swaps from token0_in (Total: 51000)
[2026-01-25T16:38:48.188+0000] {logging_mixin.py:188} INFO - [16:38:48] Fetched 1000 swaps from token0_in (Total: 52000)
[2026-01-25T16:38:49.660+0000] {logging_mixin.py:188} INFO - [16:38:49] Fetched 1000 swaps from token0_in (Total: 53000)
[2026-01-25T16:38:51.252+0000] {logging_mixin.py:188} INFO - [16:38:51] Fetched 1000 swaps from token0_in (Total: 54000)
[2026-01-25T16:38:52.881+0000] {logging_mixin.py:188} INFO - [16:38:52] Fetched 1000 swaps from token0_in (Total: 55000)
[2026-01-25T16:38:54.304+0000] {logging_mixin.py:188} INFO - [16:38:54] Fetched 1000 swaps from token0_in (Total: 56000)
[2026-01-25T16:38:55.842+0000] {logging_mixin.py:188} INFO - [16:38:55] Fetched 1000 swaps from token0_in (Total: 57000)
[2026-01-25T16:38:57.334+0000] {logging_mixin.py:188} INFO - [16:38:57] Fetched 1000 swaps from token0_in (Total: 58000)
[2026-01-25T16:38:59.684+0000] {logging_mixin.py:188} INFO - [16:38:59] Fetched 1000 swaps from token0_in (Total: 59000)
[2026-01-25T16:39:01.012+0000] {logging_mixin.py:188} INFO - [16:39:01] Fetched 1000 swaps from token0_in (Total: 60000)
[2026-01-25T16:39:02.292+0000] {logging_mixin.py:188} INFO - [16:39:02] Fetched 1000 swaps from token0_in (Total: 61000)
[2026-01-25T16:39:03.776+0000] {logging_mixin.py:188} INFO - [16:39:03] Fetched 1000 swaps from token0_in (Total: 62000)
[2026-01-25T16:39:05.466+0000] {logging_mixin.py:188} INFO - [16:39:05] Fetched 1000 swaps from token0_in (Total: 63000)
[2026-01-25T16:39:07.018+0000] {logging_mixin.py:188} INFO - [16:39:07] Fetched 1000 swaps from token0_in (Total: 64000)
[2026-01-25T16:39:08.537+0000] {logging_mixin.py:188} INFO - [16:39:08] Fetched 1000 swaps from token0_in (Total: 65000)
[2026-01-25T16:39:10.254+0000] {logging_mixin.py:188} INFO - [16:39:10] Fetched 1000 swaps from token0_in (Total: 66000)
[2026-01-25T16:39:11.808+0000] {logging_mixin.py:188} INFO - [16:39:11] Fetched 1000 swaps from token0_in (Total: 67000)
[2026-01-25T16:39:13.333+0000] {logging_mixin.py:188} INFO - [16:39:13] Fetched 1000 swaps from token0_in (Total: 68000)
[2026-01-25T16:39:15.256+0000] {logging_mixin.py:188} INFO - [16:39:15] Fetched 1000 swaps from token0_in (Total: 69000)
[2026-01-25T16:39:18.851+0000] {logging_mixin.py:188} INFO - [16:39:18] Fetched 1000 swaps from token0_in (Total: 70000)
[2026-01-25T16:39:20.537+0000] {logging_mixin.py:188} INFO - [16:39:20] Fetched 1000 swaps from token0_in (Total: 71000)
[2026-01-25T16:39:22.066+0000] {logging_mixin.py:188} INFO - [16:39:22] Fetched 1000 swaps from token0_in (Total: 72000)
[2026-01-25T16:39:23.561+0000] {logging_mixin.py:188} INFO - [16:39:23] Fetched 1000 swaps from token0_in (Total: 73000)
[2026-01-25T16:39:25.453+0000] {logging_mixin.py:188} INFO - [16:39:25] Fetched 1000 swaps from token0_in (Total: 74000)
[2026-01-25T16:39:26.801+0000] {logging_mixin.py:188} INFO - [16:39:26] Fetched 1000 swaps from token0_in (Total: 75000)
[2026-01-25T16:39:28.576+0000] {logging_mixin.py:188} INFO - [16:39:28] Fetched 1000 swaps from token0_in (Total: 76000)
[2026-01-25T16:39:29.999+0000] {logging_mixin.py:188} INFO - [16:39:29] Fetched 1000 swaps from token0_in (Total: 77000)
[2026-01-25T16:39:31.325+0000] {logging_mixin.py:188} INFO - [16:39:31] Fetched 1000 swaps from token0_in (Total: 78000)
[2026-01-25T16:39:32.754+0000] {logging_mixin.py:188} INFO - [16:39:32] Fetched 1000 swaps from token0_in (Total: 79000)
[2026-01-25T16:39:34.258+0000] {logging_mixin.py:188} INFO - [16:39:34] Fetched 1000 swaps from token0_in (Total: 80000)
[2026-01-25T16:39:36.018+0000] {logging_mixin.py:188} INFO - [16:39:36] Fetched 1000 swaps from token0_in (Total: 81000)
[2026-01-25T16:39:37.369+0000] {logging_mixin.py:188} INFO - [16:39:37] Fetched 1000 swaps from token0_in (Total: 82000)
[2026-01-25T16:39:38.809+0000] {logging_mixin.py:188} INFO - [16:39:38] Fetched 1000 swaps from token0_in (Total: 83000)
[2026-01-25T16:39:40.549+0000] {logging_mixin.py:188} INFO - [16:39:40] Fetched 1000 swaps from token0_in (Total: 84000)
[2026-01-25T16:39:42.527+0000] {logging_mixin.py:188} INFO - [16:39:42] Fetched 1000 swaps from token0_in (Total: 85000)
[2026-01-25T16:39:44.184+0000] {logging_mixin.py:188} INFO - [16:39:44] Fetched 1000 swaps from token0_in (Total: 86000)
[2026-01-25T16:39:45.989+0000] {logging_mixin.py:188} INFO - [16:39:45] Fetched 1000 swaps from token0_in (Total: 87000)
[2026-01-25T16:39:48.073+0000] {logging_mixin.py:188} INFO - [16:39:48] Fetched 1000 swaps from token0_in (Total: 88000)
[2026-01-25T16:39:49.571+0000] {logging_mixin.py:188} INFO - [16:39:49] Fetched 1000 swaps from token0_in (Total: 89000)
[2026-01-25T16:39:51.149+0000] {logging_mixin.py:188} INFO - [16:39:51] Fetched 1000 swaps from token0_in (Total: 90000)
[2026-01-25T16:39:52.921+0000] {logging_mixin.py:188} INFO - [16:39:52] Fetched 1000 swaps from token0_in (Total: 91000)
[2026-01-25T16:39:54.602+0000] {logging_mixin.py:188} INFO - [16:39:54] Fetched 1000 swaps from token0_in (Total: 92000)
[2026-01-25T16:39:56.075+0000] {logging_mixin.py:188} INFO - [16:39:56] Fetched 1000 swaps from token0_in (Total: 93000)
[2026-01-25T16:39:57.676+0000] {logging_mixin.py:188} INFO - [16:39:57] Fetched 1000 swaps from token0_in (Total: 94000)
[2026-01-25T16:39:59.241+0000] {logging_mixin.py:188} INFO - [16:39:59] Fetched 1000 swaps from token0_in (Total: 95000)
[2026-01-25T16:40:01.494+0000] {logging_mixin.py:188} INFO - [16:40:01] Fetched 1000 swaps from token0_in (Total: 96000)
[2026-01-25T16:40:03.126+0000] {logging_mixin.py:188} INFO - [16:40:03] Fetched 1000 swaps from token0_in (Total: 97000)
[2026-01-25T16:40:04.552+0000] {logging_mixin.py:188} INFO - [16:40:04] Fetched 1000 swaps from token0_in (Total: 98000)
[2026-01-25T16:40:06.289+0000] {logging_mixin.py:188} INFO - [16:40:06] Fetched 1000 swaps from token0_in (Total: 99000)
[2026-01-25T16:40:07.950+0000] {logging_mixin.py:188} INFO - [16:40:07] Fetched 1000 swaps from token0_in (Total: 100000)
[2026-01-25T16:40:09.590+0000] {logging_mixin.py:188} INFO - [16:40:09] Fetched 1000 swaps from token0_in (Total: 101000)
[2026-01-25T16:40:11.553+0000] {logging_mixin.py:188} INFO - [16:40:11] Fetched 1000 swaps from token0_in (Total: 102000)
[2026-01-25T16:40:13.392+0000] {logging_mixin.py:188} INFO - [16:40:13] Fetched 1000 swaps from token0_in (Total: 103000)
[2026-01-25T16:40:15.458+0000] {logging_mixin.py:188} INFO - [16:40:15] Fetched 1000 swaps from token0_in (Total: 104000)
[2026-01-25T16:40:17.589+0000] {logging_mixin.py:188} INFO - [16:40:17] Fetched 1000 swaps from token0_in (Total: 105000)
[2026-01-25T16:40:19.005+0000] {logging_mixin.py:188} INFO - [16:40:19] Fetched 1000 swaps from token0_in (Total: 106000)
[2026-01-25T16:40:20.429+0000] {logging_mixin.py:188} INFO - [16:40:20] Fetched 1000 swaps from token0_in (Total: 107000)
[2026-01-25T16:40:21.971+0000] {logging_mixin.py:188} INFO - [16:40:21] Fetched 1000 swaps from token0_in (Total: 108000)
[2026-01-25T16:40:23.346+0000] {logging_mixin.py:188} INFO - [16:40:23] Fetched 1000 swaps from token0_in (Total: 109000)
[2026-01-25T16:40:25.119+0000] {logging_mixin.py:188} INFO - [16:40:25] Fetched 1000 swaps from token0_in (Total: 110000)
[2026-01-25T16:40:26.739+0000] {logging_mixin.py:188} INFO - [16:40:26] Fetched 1000 swaps from token0_in (Total: 111000)
