[2026-01-25T15:03:03.749+0000] {logging_mixin.py:188} INFO - [15:03:03] Fetched 1000 swaps from token0_in (Total: 30000)
[2026-01-25T15:03:05.653+0000] {logging_mixin.py:188} INFO - [15:03:05] Fetched 1000 swaps from token0_in (Total: 31000)
[2026-01-25T15:03:07.489+0000] {logging_mixin.py:188} INFO - [15:03:07] Fetched 1000 swaps from token0_in (Total: 32000)
[2026-01-25T15:03:09.434+0000] {logging_mixin.py:188} INFO - [15:03:09] Fetched 1000 swaps from token0_in (Total: 33000)
[2026-01-25T15:03:11.389+0000] {logging_mixin.py:188} INFO - [15:03:11] Fetched 1000 swaps from token0_in (Total: 34000)
[2026-01-25T15:03:13.301+0000] {logging_mixin.py:188} INFO - [15:03:13] Fetched 1000 swaps from token0_in (Total: 35000)
[2026-01-25T15:03:15.298+0000] {logging_mixin.py:188} INFO - [15:03:15] Fetched 1000 swaps from token0_in (Total: 36000)
[2026-01-25T15:03:17.410+0000] {logging_mixin.py:188} INFO - [15:03:17] Fetched 1000 swaps from token0_in (Total: 37000)
[2026-01-25T15:03:19.371+0000] {logging_mixin.py:188} INFO - [15:03:19] Fetched 1000 swaps from token0_in (Total: 38000)
[2026-01-25T15:03:21.264+0000] {logging_mixin.py:188} INFO - [15:03:21] Fetched 1000 swaps from token0_in (Total: 39000)
[2026-01-25T15:03:23.198+0000] {logging_mixin.py:188} INFO - [15:03:23] Fetched 1000 swaps from token0_in (Total: 40000)
[2026-01-25T15:03:25.378+0000] {logging_mixin.py:188} INFO - [15:03:25] Fetched 1000 swaps from token0_in (Total: 41000)
[2026-01-25T15:03:27.312+0000] {logging_mixin.py:188} INFO - [15:03:27] Fetched 1000 swaps from token0_in (Total: 42000)
[2026-01-25T15:03:29.088+0000] {logging_mixin.py:188} INFO - [15:03:29] Fetched 1000 swaps from token0_in (Total: 43000)
[2026-01-25T15:03:31.122+0000] {logging_mixin.py:188} INFO - [15:03:31] Fetched 1000 swaps from token0_in (Total: 44000)
[2026-01-25T15:03:33.040+0000] {logging_mixin.py:188} INFO - [15:03:33] Fetched 1000 swaps from token0_in (Total: 45000)
[2026-01-25T15:03:34.963+0000] {logging_mixin.py:188} INFO - [15:03:34] Fetched 1000 swaps from token0_in (Total: 46000)
[2026-01-25T15:03:37.817+0000] {logging_mixin.py:188} INFO - [15:03:37] Fetched 1000 swaps from token0_in (Total: 47000)
[2026-01-25T15:03:39.734+0000] {logging_mixin.py:188} INFO - [15:03:39] Fetched 1000 swaps from token0_in (Total: 48000)
[2026-01-25T15:03:41.494+0000] {logging_mixin.py:188} INFO - [15:03:41] Fetched 1000 swaps from token0_in (Total: 49000)
[2026-01-25T15:03:43.701+0000] {logging_mixin.py:188} INFO - [15:03:43] Fetched 1000 swaps from token0_in (Total: 50000)
[2026-01-25T15:03:45.478+0000] {logging_mixin.py:188} INFO - [15:03:45] Fetched 1000 swaps from token0_in (Total: 51000)
[2026-01-25T15:03:47.294+0000] {logging_mixin.py:188} INFO - [15:03:47] Fetched 1000 swaps from token0_in (Total: 52000)
[2026-01-25T15:03:49.238+0000] {logging_mixin.py:188} INFO - [15:03:49] Fetched 1000 swaps from token0_in (Total: 53000)
[2026-01-25T15:03:51.052+0000] {logging_mixin.py:188} INFO - [15:03:51] Fetched 1000 swaps from token0_in (Total: 54000)
[2026-01-25T15:03:52.791+0000] {logging_mixin.py:188} INFO - [15:03:52] Fetched 1000 swaps from token0_in (Total: 55000)
[2026-01-25T15:03:54.539+0000] {logging_mixin.py:188} INFO - [15:03:54] Fetched 1000 swaps from token0_in (Total: 56000)
[2026-01-25T15:03:56.484+0000] {logging_mixin.py:188} INFO - [15:03:56] Fetched 1000 swaps from token0_in (Total: 57000)
[2026-01-25T15:03:58.336+0000] {logging_mixin.py:188} INFO - [15:03:58] Fetched 1000 swaps from token0_in (Total: 58000)
[2026-01-25T15:04:00.052+0000] {logging_mixin.py:188} INFO - [15:04:00] Fetched 1000 swaps from token0_in (Total: 59000)
[2026-01-25T15:04:01.708+0000] {logging_mixin.py:188} INFO - [15:04:01] Fetched 1000 swaps from token0_in (Total: 60000)
[2026-01-25T15:04:03.526+0000] {logging_mixin.py:188} INFO - [15:04:03] Fetched 1000 swaps from token0_in (Total: 61000)
[2026-01-25T15:04:05.194+0000] {logging_mixin.py:188} INFO - [15:04:05] Fetched 1000 swaps from token0_in (Total: 62000)
[2026-01-25T15:04:07.041+0000] {logging_mixin.py:188} INFO - [15:04:07] Fetched 1000 swaps from token0_in (Total: 63000)
[2026-01-25T15:04:08.724+0000] {logging_mixin.py:188} INFO - [15:04:08] Fetched 1000 swaps from token0_in (Total: 64000)
[2026-01-25T15:04:10.327+0000] {logging_mixin.py:188} INFO - [15:04:10] Fetched 1000 swaps from token0_in (Total: 65000)
[2026-01-25T15:04:12.103+0000] {logging_mixin.py:188} INFO - [15:04:12] Fetched 1000 swaps from token0_in (Total: 66000)
[2026-01-25T15:04:13.895+0000] {logging_mixin.py:188} INFO - [15:04:13] Fetched 1000 swaps from token0_in (Total: 67000)
[2026-01-25T15:04:15.549+0000] {logging_mixin.py:188} INFO - [15:04:15] Fetched 1000 swaps from token0_in (Total: 68000)
[2026-01-25T15:04:17.525+0000] {logging_mixin.py:188} INFO - [15:04:17] Fetched 1000 swaps from token0_in (Total: 69000)
[2026-01-25T15:04:19.258+0000] {logging_mixin.py:188} INFO - [15:04:19] Fetched 1000 swaps from token0_in (Total: 70000)
