[2026-01-25T17:00:02.867+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T16:00:00+00:00 [queued]>
[2026-01-25T17:00:02.880+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T16:00:00+00:00 [queued]>
[2026-01-25T17:00:02.881+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-01-25T17:00:02.899+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:00:00+00:00
[2026-01-25T17:00:02.913+0000] {standard_task_runner.py:60} INFO - Started process 67246 to run task
[2026-01-25T17:00:02.918+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'scheduled__2026-01-25T16:00:00+00:00', '--job-id', '13', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmpy1re9jbi']
[2026-01-25T17:00:02.923+0000] {standard_task_runner.py:88} INFO - Job 13: Subtask fetch_and_store_swaps
[2026-01-25T17:00:02.992+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T16:00:00+00:00 [running]> on host f2da44f39545
[2026-01-25T17:00:54.836+0000] {logging_mixin.py:188} INFO - [17:00:54] Fetched 1000 swaps from token0_in (Total: 31000)
[2026-01-25T17:00:56.610+0000] {logging_mixin.py:188} INFO - [17:00:56] Fetched 1000 swaps from token0_in (Total: 32000)
[2026-01-25T17:00:58.194+0000] {logging_mixin.py:188} INFO - [17:00:58] Fetched 1000 swaps from token0_in (Total: 33000)
[2026-01-25T17:00:59.697+0000] {logging_mixin.py:188} INFO - [17:00:59] Fetched 1000 swaps from token0_in (Total: 34000)
[2026-01-25T17:01:01.450+0000] {logging_mixin.py:188} INFO - [17:01:01] Fetched 1000 swaps from token0_in (Total: 35000)
[2026-01-25T17:01:03.062+0000] {logging_mixin.py:188} INFO - [17:01:03] Fetched 1000 swaps from token0_in (Total: 36000)
[2026-01-25T17:01:04.466+0000] {logging_mixin.py:188} INFO - [17:01:04] Fetched 1000 swaps from token0_in (Total: 37000)
[2026-01-25T17:01:05.785+0000] {logging_mixin.py:188} INFO - [17:01:05] Fetched 1000 swaps from token0_in (Total: 38000)
[2026-01-25T17:01:07.548+0000] {logging_mixin.py:188} INFO - [17:01:07] Fetched 1000 swaps from token0_in (Total: 39000)
[2026-01-25T17:01:09.080+0000] {logging_mixin.py:188} INFO - [17:01:09] Fetched 1000 swaps from token0_in (Total: 40000)
[2026-01-25T17:01:10.983+0000] {logging_mixin.py:188} INFO - [17:01:10] Fetched 1000 swaps from token0_in (Total: 41000)
[2026-01-25T17:01:12.488+0000] {logging_mixin.py:188} INFO - [17:01:12] Fetched 1000 swaps from token0_in (Total: 42000)
[2026-01-25T17:01:14.230+0000] {logging_mixin.py:188} INFO - [17:01:14] Fetched 1000 swaps from token0_in (Total: 43000)
[2026-01-25T17:01:16.431+0000] {logging_mixin.py:188} INFO - [17:01:16] Fetched 1000 swaps from token0_in (Total: 44000)
[2026-01-25T17:01:18.450+0000] {logging_mixin.py:188} INFO - [17:01:18] Fetched 1000 swaps from token0_in (Total: 45000)
[2026-01-25T17:01:20.042+0000] {logging_mixin.py:188} INFO - [17:01:20] Fetched 1000 swaps from token0_in (Total: 46000)
[2026-01-25T17:01:21.609+0000] {logging_mixin.py:188} INFO - [17:01:21] Fetched 1000 swaps from token0_in (Total: 47000)
[2026-01-25T17:01:23.205+0000] {logging_mixin.py:188} INFO - [17:01:23] Fetched 1000 swaps from token0_in (Total: 48000)
[2026-01-25T17:01:24.966+0000] {logging_mixin.py:188} INFO - [17:01:24] Fetched 1000 swaps from token0_in (Total: 49000)
[2026-01-25T17:01:26.552+0000] {logging_mixin.py:188} INFO - [17:01:26] Fetched 1000 swaps from token0_in (Total: 50000)
[2026-01-25T17:01:28.409+0000] {logging_mixin.py:188} INFO - [17:01:28] Fetched 1000 swaps from token0_in (Total: 51000)
[2026-01-25T17:01:29.935+0000] {logging_mixin.py:188} INFO - [17:01:29] Fetched 1000 swaps from token0_in (Total: 52000)
[2026-01-25T17:01:31.474+0000] {logging_mixin.py:188} INFO - [17:01:31] Fetched 1000 swaps from token0_in (Total: 53000)
[2026-01-25T17:01:33.064+0000] {logging_mixin.py:188} INFO - [17:01:33] Fetched 1000 swaps from token0_in (Total: 54000)
[2026-01-25T17:01:34.512+0000] {logging_mixin.py:188} INFO - [17:01:34] Fetched 1000 swaps from token0_in (Total: 55000)
[2026-01-25T17:01:36.103+0000] {logging_mixin.py:188} INFO - [17:01:36] Fetched 1000 swaps from token0_in (Total: 56000)
[2026-01-25T17:01:37.750+0000] {logging_mixin.py:188} INFO - [17:01:37] Fetched 1000 swaps from token0_in (Total: 57000)
[2026-01-25T17:01:39.522+0000] {logging_mixin.py:188} INFO - [17:01:39] Fetched 1000 swaps from token0_in (Total: 58000)
[2026-01-25T17:01:41.739+0000] {logging_mixin.py:188} INFO - [17:01:41] Fetched 1000 swaps from token0_in (Total: 59000)
